Name,Category ID,Category Name,Latitude,Longitude,Popularity,Price,Rating
Pub Aleksis K,13010,Dive Bar,60.189157,24.957506,0.9743631190999612,Most Affordable,7.2
Ravintola Kuudes Linja,10039,Music Venue,60.183846,24.959906,0.978533557480926,Not Listed,7.0
Helsing Bar,13010,Dive Bar,60.18486,24.951781,0.9764483382904436,Most Affordable,6.5
Ääniwalli,10039,Music Venue,60.195243,24.949869,0.9832859174964438,Not Listed,8.7
Konepaja Biergarten,13007,Beer Garden,60.192953,24.947687,0.9772484805379542,Most Affordable,8.6
Helsingin kaupunginkirjasto Vallilan kirjasto,12080,Library,60.192139,24.962349,0.9802469934048882,Not Listed,8.4
Maltainen Riekko,13018,Pub,60.192254,24.944923,0.9938979050821156,Expensive,8.0
King Kebab,13032,"Cafe, Coffee, and Tea House",60.195046,24.956776,0.9940272210009052,Most Affordable,7.8
Oluthuone Konepaja,13006,Beer Bar,60.191066,24.94942,0.9863975817923187,Not Listed,7.3
Naughty BRGR,13031,Burger Joint,60.192302,24.953225,0.9897193844562264,Most Affordable,6.7
Weeruska,13049,Diner,60.190833,24.946541,0.9858803181171604,Affordable,6.3
Alppilan Huone,13003,Bar,60.190822,24.945537,0.960025216604164,Affordable,8.3
Ravintola Iltakoulu,13010,Dive Bar,60.188391,24.96036,0.9894607526186474,Affordable,6.2
Ravintola Rytmi,13010,Dive Bar,60.181034,24.950227,0.9937120134488556,Affordable,6.0
Palace restaurant,13065,Restaurant,60.165334,24.951947,0.9558628604681236,Not Listed,7.8
Bar Haven,13013,Hotel Bar,60.166613,24.951406,0.9579076684339842,Expensive,7.8
Scandinavia Cafe,10000,Arts and Entertainment,60.166177,24.952839,0.9940595499806026,Most Affordable,7.6
Zhèn,13099,Chinese Restaurant,60.164643,24.950981,0.9709362472520368,Most Affordable,7.4
Kalakauppa E. Eriksson,13065,Restaurant,60.165816,24.95294,0.9783557480925902,Not Listed,7.2
Goodwin The Steak House,13383,Steakhouse,60.166291,24.952137,0.9719303633777318,Expensive,6.2
Tapahtumatalo Bank,13065,Restaurant,60.165991,24.950696,0.9835768783137204,Not Listed,5.2
Kahvila Kasinonranta,13034,Café,60.155609,24.872496,0.9941484546747704,Affordable,8.7
Ravintola Borneo,13299,Malay Restaurant,60.152125,24.879675,0.9902770593560069,Affordable,8.6
Maggio Pizzeria Viinibaari,13064,Pizzeria,60.154448,24.882373,0.9845709944394156,Most Affordable,8.5
Makers Kahvila,13034,Café,60.155649,24.882263,0.9837789344368292,Most Affordable,8.2
Ravintola Persilja,13302,Mediterranean Restaurant,60.157929,24.880952,0.9904871977240398,Affordable,7.9
Paseo Cafe & Grill,13065,Restaurant,60.14684,24.883294,0.9945848959006852,Not Listed,7.8
Trattoria Limone,13236,Italian Restaurant,60.151128,24.885515,0.980958230958231,Affordable,7.4
Bistro Telakka,13027,Bistro,60.155135,24.886612,0.9864379930169404,Not Listed,6.9
Ravintola Wanha Herra,13003,Bar,60.14898,24.882265,0.9924835122203544,Affordable,6.8
Ravintola Lumbini,13194,Himalayan Restaurant,60.15426,24.886888,0.9889354066985646,Not Listed,6.7
Blue Peter,13016,Lounge,60.151609,24.891472,0.9851205870942712,Affordable,6.5
Ravintola Loru,13065,Restaurant,60.152701,24.87965,0.9823887883098408,Not Listed,6.4
Thai-China ruokaravintola,13352,Thai Restaurant,60.153545,24.88054,0.9910529548687445,Affordable,5.8
Bar '52,13003,Bar,60.15438,24.879635,0.9919258373205742,Affordable,5.3
Sirat,13316,Pakistani Restaurant,60.15066,24.886423,0.2503313720418983,Not Listed,0.0
Kirkuk Leipomo,13002,Bakery,60.150722,24.886573,0.9866481313849736,Not Listed,0.0
Dolife,18028,Yoga Studio,60.150758,24.886304,0.6754493728177938,Not Listed,0.0
Osaka Sushi,13276,Sushi Restaurant,60.151236,24.886398,0.985298396482607,Affordable,0.0
HSL 1047 Vattuniemi,19043,Bus Stop,60.151232,24.885501,0.9469723910513383,Not Listed,0.0
Studio Shangri-La,10012,Country Dance Club,60.151542,24.886251,0.6563591103064788,Not Listed,0.0
Joanna's,13030,Buffet,60.149286,24.882119,0.6376406310616837,Not Listed,0.0
HSL 1052 Melkonkatu,19043,Bus Stop,60.150874,24.882327,0.942898939609466,Not Listed,0.0
HSL 1051 Melkonkuja,19043,Bus Stop,60.150203,24.881678,0.9890647226173542,Not Listed,0.0
Veijarivuoren puiston koira-aitaus,16033,Dog Park,60.147704,24.88867,0.0830127376180007,Not Listed,0.0
Lallukka's,13336,Scandinavian Restaurant,60.153093,24.887521,0.8791946851157377,Affordable,0.0
Food Corner,13065,Restaurant,60.15339,24.885579,0.6191565369196949,Not Listed,0.0
Ravintola Maharaja,13072,Asian Restaurant,60.148873,24.8789,0.9831566015776542,Affordable,0.0
HSL 1045 Vattuniemenkuja,19043,Bus Stop,60.153569,24.885925,0.9472552696236908,Not Listed,0.0
Merijooga,18028,Yoga Studio,60.153576,24.88603,0.961730570283202,Not Listed,0.0
Moola,18028,Yoga Studio,60.148986,24.878198,0.0677534592008276,Not Listed,0.0
Nepalilainen Ravintola Fewa,13072,Asian Restaurant,60.152444,24.879738,0.4617709815078236,Affordable,0.0
Ravintola Pisara,13030,Buffet,60.152701,24.87965,0.992984611405664,Not Listed,0.0
Lauttasaaren Koiraranta,16033,Dog Park,60.145785,24.88988,0.2206048752101383,Not Listed,0.0
Mitra,13065,Restaurant,60.153274,24.880418,0.8901542092331566,Not Listed,0.0
Hsl 1062 Heikkilänaukio,19043,Bus Stop,60.154009,24.882907,0.3052340618130091,Not Listed,0.0
Afg Restaurant,13066,Afghan Restaurant,60.153268,24.880313,0.4929765291607397,Affordable,0.0
Afg,13066,Afghan Restaurant,60.153316,24.880254,0.4147242338031812,Affordable,0.0
HSL 1055 Kiviaidankatu,19043,Bus Stop,60.154395,24.881535,0.9835364670890988,Not Listed,0.0
Lauttasaaren Herkku,13034,Café,60.155001,24.885309,0.980012608302082,Not Listed,0.0
Melisa,13288,Kebab Restaurant,60.154714,24.881597,0.1501761929393508,Not Listed,0.0
HSL 1043 Heikkiläntie,19043,Bus Stop,60.156547,24.885682,0.9927259795680848,Not Listed,0.0
Bar Naissaar,13027,Bistro,60.148397,24.903843,0.753239981270942,Not Listed,0.0
ST-Ravintolat Oy,13065,Restaurant,60.151245,24.888193,0.0,Not Listed,0.0
Peruna & Co Oy,13065,Restaurant,60.151841,24.885999,0.0,Not Listed,0.0
Hammaslääkäri Annika Ylä-Autio,15007,Dentist,60.149445,24.877977,0.0,Not Listed,0.0
