Name,Category Alias,Category Title,Latitude,Longitude,Price,Rating
Linnankellari,restaurants,Restaurants,60.167,24.97055,Not Listed,4.5
Tervasaaren koirapuisto,pets,Pets,60.1724701,24.9559498,Not Listed,4.0
West Lake Tea House,tea,Tea Rooms,60.17136,24.9575806,Expensive,4.5
Zinnkeller,german,German,60.1744034863905,24.9583420690043,Affordable,3.7
Tove Janssonin puisto,dog_parks,Dog Parks,60.1679724274987,24.9616866108732,Not Listed,3.7
Ravintola Wellamo,modern_european,Modern European,60.16838,24.96845,Affordable,3.6
Wanha Satama,professional,Professional Services,60.1655388,24.9674397,Not Listed,3.5
Sipuli,restaurants,Restaurants,60.168916882128,24.9596941508179,Expensive,3.4
Furuma Cuisine,chinese,Chinese,60.16664,24.96227,Expensive,3.4
Eurohostel,restaurants,Restaurants,60.1658131720951,24.9698910741803,Affordable,3.1
Bastion Deli,salad,Salad,60.1664525095334,24.9661663814674,Not Listed,4.0
Pivnice Poseidon,pubs,Pubs,60.167511082615,24.962795567779,Affordable,3.3
Kruna restaurang & bar,gastropubs,Gastropubs,60.17405,24.95932,Not Listed,4.0
Holiday Bar,modern_european,Modern European,60.168782345205,24.9591334146507,Not Listed,3.5
Katajanokan Pizza,kebab,Kebab,60.1681216190277,24.9753731913104,Not Listed,3.5
Katajanokan Koirapuisto,dog_parks,Dog Parks,60.1663208,24.9718494,Not Listed,3.0
Katajanmarja,restaurants,Restaurants,60.1658287,24.9698296,Not Listed,3.0
Jailyard Terrace,bars,Bars,60.1669998,24.9705505,Not Listed,3.0
Sen Chay,vegetarian,Vegetarian,60.1778816903161,24.9507051534424,Most Affordable,4.7
Soppakeittiö,soup,Soup,60.180093561669,24.9511906206237,Most Affordable,4.6
Musta Kissa,bars,Bars,60.1823900253219,24.9468823023268,Most Affordable,4.4
Sandro,breakfast_brunch,Breakfast & Brunch,60.18313,24.94839,Expensive,4.3
Silvoplee,vegetarian,Vegetarian,60.1814518638294,24.9492035894427,Affordable,4.3
Kolmon3n,burgers,Burgers,60.1821012,24.9501554,Affordable,4.3
Helsingin yliopiston pääkirjasto,libraries,Libraries,60.1713814623825,24.9483638024519,Not Listed,5.0
Bali Bagus Helsinki,indonesian,Indonesian,60.1797194,24.9612648,Not Listed,5.0
Gastrobar EMO,gastropubs,Gastropubs,60.1662016498627,24.9475995273544,Expensive,4.3
Bock - Terrace,lounges,Lounges,60.1686973,24.9534754,Affordable,5.0
