Name,Category Alias,Category Title,Latitude,Longitude,Distance,Price,Rating
Thai Palace,thai,Thai,60.29245,25.0398903,287.96663230409234,,4.3
La Pasteria Italiana,italian,Italian,60.292141,25.0435791,189.36734275540678,€€,5.0
Oklahoma,tradamerican,American,60.2936607259828,25.0346591413232,602.5248171784675,€,3.9
Chico's,tradamerican,American,60.2935024383154,25.0367432748749,488.6308725582788,,4.3
Oriental House,chinese,Chinese,60.29245,25.0398903,287.96663230409234,€€,3.7
Tamarin,thai,Thai,60.2935291,25.0344032,611.3860005154561,€,3.6
Sagarmatha,himalayan,Himalayan/Nepalese,60.2933617,25.03158,692.4985700089746,€€,3.8
Hertas,karaoke,Karaoke,60.2908783,25.0419407,214.5054572221063,,4.0
Hua Hin,buffets,Buffets,60.2900085,25.0362301,523.6473658269529,€€,4.0
Tikkurilan Kirjasto,libraries,Libraries,60.2950211,25.0423203,442.71923283216734,,4.0
Tulisuudelma,bars,Bars,60.2908783,25.0419407,214.5054572221063,,4.0
Pingviini Street Bar,bars,Bars,60.2931495253492,25.0372042419804,451.4955267135798,,4.0
Hemingway's,bars,Bars,60.2922096,25.0415993,216.78343817556168,€€,4.0
Huang Shang Huang,chinese,Chinese,60.2933083,25.0328598,693.6683130977719,,4.0
Bistro Liekki,bistros,Bistros,60.2929434070513,25.0319295,729.5373431764378,,4.0
Shamrock,bars,Bars,60.2933617,25.03158,692.4985700089746,,3.5
Picnic,coffee,Coffee & Tea,60.2928658,25.0345211,600.2462001499202,€,3.5
Grande Parilla,mediterranean,Mediterranean,60.292141,25.0435791,189.36734275540678,€€,3.5
Amarillo,tex-mex,Tex-Mex,60.2907874,25.0418655,212.4668432891457,€€€,2.5
McDonald's,hotdogs,Fast Food,60.2835808,25.0280209,1264.1465002180034,,3.0
Masterpizza Tikkurila,pizza,Pizza,60.2926102,25.0429592,87.72086519158444,,3.0
Torello,bars,Bars,60.2937004678157,25.0344693655257,613.8509554225511,,3.0
Long Hua,japanese,Japanese,60.2936434537629,25.0349624454975,586.1055282634912,€€,3.0
Maltainen Metso,bars,Bars,60.292141,25.0435791,189.36734275540678,,3.0
Old Story,sportsbars,Sports Bars,60.293663,25.0339451,653.8537546656074,€€,3.0
Café Einstein,coffee,Coffee & Tea,60.2876015,25.0406494,628.3607200565792,€€,2.3
3 Amigos,mexican,Mexican,60.2925704538395,25.0369150936604,451.71733570278207,€,2.0
Eka Kebab Pizzeria,pizza,Pizza,60.2930897239661,25.0379718313145,907.522077001064,,5.0
Souvlaki,kiosk,Kiosk,60.2934447404233,25.0301260873675,518.1639750778817,,5.0
Tixident,dentists,Dentists,60.2939186,25.0308704,569.2956126231506,,5.0
Thai Palace,thai,Thai,60.29245,25.0398903,986.1533823953336,,4.3
Oklahoma,tradamerican,American,60.2936607259828,25.0346591413232,753.460013115454,€,3.9
Chico's,tradamerican,American,60.2935024383154,25.0367432748749,855.2264770789078,,4.3
Oriental House,chinese,Chinese,60.29245,25.0398903,986.1533823953336,€€,3.7
Tamarin,thai,Thai,60.2935291,25.0344032,734.9183252813739,€,3.6
Sagarmatha,himalayan,Himalayan/Nepalese,60.2933617,25.03158,622.6026376293892,€€,3.8
Hua Hin,buffets,Buffets,60.2900085,25.0362301,796.3063872143922,€€,4.0
Pingviini Street Bar,bars,Bars,60.2931495253492,25.0372042419804,868.2819169912397,,4.0
Huang Shang Huang,chinese,Chinese,60.2933083,25.0328598,644.5891398182904,,4.0
Bistro Liekki,bistros,Bistros,60.2929434070513,25.0319295,584.3071734889353,,4.0
Shamrock,bars,Bars,60.2933617,25.03158,622.6026376293892,,3.5
Picnic,coffee,Coffee & Tea,60.2928658,25.0345211,704.7666853212055,€,3.5
McDonald's,hotdogs,Fast Food,60.2835808,25.0280209,872.0685022167711,,3.0
Torello,bars,Bars,60.2937004678157,25.0344693655257,745.4908978020909,,3.0
Long Hua,japanese,Japanese,60.2936434537629,25.0349624454975,768.2512458718635,€€,3.0
Old Story,sportsbars,Sports Bars,60.293663,25.0339451,703.4047587347902,€€,3.0
Café Einstein,coffee,Coffee & Tea,60.2876015,25.0406494,1095.9186118166274,€€,2.3
3 Amigos,mexican,Mexican,60.2925704538395,25.0369150936604,838.0197728622311,€,2.0
Limone,italian,Italian,60.31744,24.84678,643.3302051253681,€€,3.0
Sushi Anlii,buffets,Buffets,60.2775166636526,24.8206914961338,1168.8492640744328,,5.0
McDonald's,burgers,Burgers,60.2701492,24.8044109,133.45079401348423,,4.0
Ravintola Albela,gastropubs,Gastropubs,60.2620201,24.8043995,972.36816251626,,2.0
Kenttälounas,buffets,Buffets,60.3107998,24.9724575,765.8652296418476,,3.0
Ravintola Bistro,restaurants,Restaurants,60.2952919,24.9710808,1059.5922977979903,,3.0
Sushi Anlii,buffets,Buffets,60.2775166636526,24.8206914961338,947.3964091886453,,5.0
McDonald's,burgers,Burgers,60.2701492,24.8044109,876.5007451680843,,4.0
Ravintola Albela,gastropubs,Gastropubs,60.2620201,24.8043995,1153.916324497186,,2.0
Fuudii,buffets,Buffets,60.2959430305966,24.9242308061701,165.74845371734096,€€,5.0
Allun Grilli Moottori-Ravintola,bbq,Barbeque,60.2646103,24.8527298,436.5529284808672,€€,4.5
Mike's Diner,tradamerican,American,60.2615078166477,24.8549295589328,56.91697137000163,,4.0
Myyrmäen kirjasto,libraries,Libraries,60.2613487,24.8529301,104.11325259328167,,3.3
Länsi-Vantaan Hammaslääkärit,dentists,Dentists,60.2626686,24.8502293,308.93770272623885,,4.0
Katukeittiö Pilvi,chinese,Chinese,60.2634709145627,24.8533391559157,286.32389450400547,,4.0
Red Onion,bars,Bars,60.2602997,24.8529797,204.2005078052338,,3.0
Kulta Leopardi,chinese,Chinese,60.2603,24.85298,120.63865875230145,,2.3
Ravintola Tilicho,himalayan,Himalayan/Nepalese,60.2638847143319,24.8512510934873,375.77317594678016,€€,2.3
Rio Grande,mexican,Mexican,60.26181,24.85506,101.45296389364289,€€,2.5
Manni Steak House,restaurants,Restaurants,60.260384553257,24.8531233125894,115.05017649291305,,2.0
Pizza Service,pizza,Pizza,60.2639084,24.8729,1034.3246817336983,€,2.0
Toppari,irish_pubs,Irish Pub,60.261470857113,24.8550043870198,53.55682700901978,€€€,1.0
