Foursquare Name,Foursquare Search,Foursquare Category,Latitude,Longitude,Foursquare Popularity,Foursquare Price,Foursquare Rating,Rounded Latitude,Rounded Longitude,ID
Ratsastien Koirapuisto,16033,Dog Park,60.197212,24.90521,0.3411919694814431,Not Listed,0.0,60.197,24.905,60.197_24.905
HSL 1927 Tilkka,19043,Bus Stop,60.197993,24.901772,0.2345063364800207,Not Listed,0.0,60.198,24.902,60.198_24.902
HSL 1387 Paciuksenkaari,19043,Bus Stop,60.195403,24.890695,0.1163439156860209,Not Listed,0.0,60.195,24.891,60.195_24.891
McDonald's - Pääkonttori,11124,Office,60.195569,24.890831,0.8438025345920083,Not Listed,0.0,60.196,24.891,60.196_24.891
HSL 1926 Tilkka,19043,Bus Stop,60.198152,24.901804,0.952872429846114,Not Listed,0.0,60.198,24.902,60.198_24.902
Hsl 1782,19043,Bus Stop,60.198159,24.899422,0.2878410707358075,Not Listed,0.0,60.198,24.899,60.198_24.899
HSL 1299 Heikinniementie,19043,Bus Stop,60.188531,24.889136,0.6396611922927712,Not Listed,0.0,60.189,24.889,60.189_24.889
Dribble Lounge,13009,Cocktail Bar,60.199017,24.898037,0.4764483382904435,Expensive,0.0,60.199,24.898,60.199_24.898
Terveystalo Tilkka Hammaslääkäripalvelut,15007,Dentist,60.199192,24.899971,0.80839421957843,Not Listed,0.0,60.199,24.9,60.199_24.9
HSL 1289 Lastenlinna,19043,Bus Stop,60.185136,24.910219,0.45827136945558,Not Listed,0.0,60.185,24.91,60.185_24.91
HSL 1290 Lastenlinna,19043,Bus Stop,60.185136,24.910219,0.9317211948790896,Not Listed,0.0,60.185,24.91,60.185_24.91
Tilkan Hammasklinikka,15007,Dentist,60.199302,24.900062,0.9504800853485064,Not Listed,0.0,60.199,24.9,60.199_24.9
Lotus Motorhome,10001,Amusement Park,60.199245,24.898323,0.3589809905599379,Not Listed,0.0,60.199,24.898,60.199_24.898
