latitude,longitude,free_bikes
60.221938,24.817939,0
60.156755,24.737664,2
60.223768,24.812246,3
60.153737,24.729112,11
60.223827,24.826396,4
60.160645,24.724835,5
60.222154,24.804898,9
60.161138,24.756272,15
60.16582,24.840319,4
60.161588,24.74663,0
60.1690523,24.8307727,6
60.224963,24.801345,12
60.159756,24.740267,2
60.168266,24.805758,10
60.226379,24.804735,8
60.162403,24.738416,1
60.168143,24.796136,5
60.228463,24.813871,9
60.165603,24.732688,8
60.171551,24.802938,5
60.227827,24.819614,11
60.162842,24.721367,16
60.173424,24.810688,18
60.234401,24.813954,19
60.168971,24.724908,11
60.173567,24.79139,19
60.230453,24.824561,15
60.172673,24.726025,8
60.175769,24.792559,0
60.235089,24.831397,7
60.17481606,24.72927836,1
60.175358,24.802049,2
60.17219,24.806849,3
60.174914,24.738122,1
60.176168,24.805825,0
60.220467,24.83939,17
60.167216,24.735969,1
60.184485,24.856701,7
60.177588,24.803942,3
60.220551,24.833536,8
60.16338631,24.85516427,34
60.171548,24.731472,2
60.15490426,24.91014211,11
60.17875,24.797984,2
60.18955618,24.97754808,11
60.168441,24.743532,3
60.181277,24.975888,33
60.178702,24.810974,6
60.223377,24.820635,1
60.16440749,25.06166787,31
60.172814,24.745666,6
60.2045331951086,24.808291407921942,1
60.178655,24.817423,10
60.17471,24.752442,12
60.175233,24.82895,11
60.18452871,24.74450876,21
60.178762,24.835132,0
60.180027,24.831804,4
60.187086,24.742936,18
60.180806,24.824747,12
60.185096,24.81422,2
60.18363,24.817403,6
60.184987,24.820099,5
60.184312,24.826671,1
60.2027734,25.15934635,13
60.18483,24.837133,22
60.20544673,25.15840938,5
60.2046813,25.15154626,11
60.188499,24.829985,1
60.20113608,25.15011353,19
60.2021242,25.14304029,19
60.187712,24.83556,10
60.2063719,25.14550436,2
60.20661604,25.14104587,1
60.187523,24.811419,2
60.20797536,25.14385259,1
60.20440477,25.13599933,21
60.189143,24.807083,1
60.20238693,25.12790982,12
60.19956365,25.11990608,15
60.186731,24.806152,0
60.20415423,25.11942241,2
60.20553547,25.12014086,20
60.184765,24.804022,4
60.20955807,25.1365036,10
60.21229761,25.15346457,1
60.18715,24.796959,7
60.21400149,25.14675006,13
60.21877663,25.14678718,3
60.18288,24.794014,6
60.2213209,25.14109536,7
60.21964832,25.13382869,5
