Name,Latitude,Longitude,Distance,Price,Rating,Distance_mean,Distance_min,Distance_max,Bike Spots Near,Category,Rounded Latitude,Rounded Longitude,Rounded Distance,Rounded Distance_mean
Liberty or Death,60.16472,24.94462,777.1444099212647,Affordable,4.5,642.5947595487988,187.4488460385771,974.6422224843304,30,Speakeasies,60.165,24.945,777.144,642.595
El Greco,60.16597,24.94489,822.3732312166018,Affordable,4.5,618.6935638928003,122.72507504734104,955.1239303614684,30,Greek,60.166,24.945,822.373,618.694
Vibami,60.1631,24.94172,733.9376716370379,Affordable,4.5,653.5198639216223,114.27529893805512,999.7793882072192,29,Vietnamese,60.163,24.942,733.938,653.52
Tommyknocker,60.1634598,24.9412804,859.5970083825044,Affordable,4.4,613.8190518935785,17.64205132961626,910.9914822751368,26,Pubs,60.163,24.941,859.597,613.819
Pizzeria Via Tribunali,60.16848,24.95157,855.0931051617196,Not Listed,4.4,614.1554518651352,78.5110799009723,999.7020849209016,23,Pizza,60.168,24.952,855.093,614.155
Soppakeittiö,60.1664065865745,24.952743931244,632.5542558382822,Most Affordable,4.4,587.7080146323153,129.96066981495164,999.812202652152,14,Soup,60.166,24.953,632.554,587.708
The Riff,60.1641388,24.9428196,790.6944290462249,Affordable,4.4,691.5481766162454,352.5467549505318,959.1235467346496,16,Bars,60.164,24.943,790.694,691.548
Toca,60.1654414,24.9512655,566.9861466299999,Expensive,4.4,587.7117599670654,124.60676523550012,900.9143306801574,12,Modern European,60.165,24.951,566.986,587.712
Hills Dumplings,60.16441,24.94533,710.9001358124887,Not Listed,4.4,780.9423601885047,458.9583974539376,945.098411658088,11,Dim Sum,60.164,24.945,710.9,780.942
Brooklyn Cafe,60.16131,24.94182,932.5593611921408,Most Affordable,4.3,746.1065501787746,378.070028681028,997.9905164925478,10,Bagels,60.161,24.942,932.559,746.107
Saslik,60.15868,24.9485092,488.57762868992864,Most Expensive,4.3,582.7693778772843,222.23929950828204,828.3551018944814,7,Russian,60.159,24.949,488.578,582.769
Copas y Tapas,60.1687698,24.9490204,939.8701697661664,Not Listed,4.3,705.6865378032846,442.7495107759818,939.8701697661664,4,Tapas/Small Plates,60.169,24.949,939.87,705.687
Istanbul Grilli,60.1629414443893,24.9389866097799,981.8880499940562,Expensive,4.3,761.4709465158178,520.3447743364914,981.8880499940562,7,Turkish,60.163,24.939,981.888,761.471
Pastor,60.1660614,24.9430008,942.5665137802677,Expensive,4.3,898.8201056602247,776.6269049091986,971.346997232792,8,Latin American,60.166,24.943,942.567,898.82
Ravintola Natura,60.16369,24.94181,809.3635458451807,Most Expensive,4.3,791.5470305622207,603.3685555260206,997.2829620182888,6,Scandinavian,60.164,24.942,809.364,791.547
BrewDog,60.16062,24.9425199,777.7684144296958,Affordable,4.3,571.9049409267193,314.0693268513343,777.7684144296958,4,Pubs,60.161,24.943,777.768,571.905
Ravintola Maxill,60.1604385,24.9461498,550.1917954754864,Expensive,4.3,585.4201541906812,255.75264595360383,899.262831930994,5,Food,60.16,24.946,550.192,585.42
Ravintola Nokka,60.1690225729284,24.960840976999,926.7634908408636,Expensive,4.3,612.9068992933419,151.73185430268254,926.7634908408636,5,Scandinavian,60.169,24.961,926.763,612.907
SIS. Deli & Café,60.16077,24.94634,550.4285146414094,Most Affordable,4.3,591.5950920679132,265.1322016151954,906.9724150128528,5,Coffee & Tea,60.161,24.946,550.429,591.595
Pörssiklubi,60.1684113,24.9486008,923.0502732175588,Not Listed,5.0,809.7827088471198,533.5989436662555,972.6989096575452,3,Restaurants,60.168,24.949,923.05,809.783
Healthinki,60.15853,24.94482,700.7460345121907,Not Listed,5.0,679.7656614630985,440.8381597740948,920.557872753072,5,Coffee & Tea,60.159,24.945,700.746,679.766
Ravintola Saaristo,60.1593617088918,24.9655079841614,541.0491949436322,Expensive,4.5,669.936497617938,541.0491949436322,949.8309938149335,4,Scandinavian,60.159,24.966,541.049,669.936
Green Hippo Cafe,60.1617042372927,24.9400799771933,900.7990463505917,Not Listed,5.0,758.6046353610581,474.3663852933765,900.7990463505917,3,Breakfast & Brunch,60.162,24.94,900.799,758.605
Ravintola Vinkkeli,60.1639,24.94641,662.4743703338567,Most Expensive,5.0,652.8205532915579,104.41720654848194,993.930058822834,28,Modern European,60.164,24.946,662.474,652.821
Baskeri &  Basso,60.1578732195411,24.934694096446,565.8765626022815,Affordable,4.8,673.1161654815522,83.377592852761,978.824141867706,16,Bistros,60.158,24.935,565.877,673.116
Ravintola Savoy,60.1666412,24.9473209,996.3734387047638,Most Expensive,4.8,590.3797667079725,18.963961616784243,996.3734387047638,28,Restaurants,60.167,24.947,996.373,590.38
Chef & Sommelier,60.15766,24.94254,134.0349747295965,Most Expensive,4.8,641.8000232845052,134.0349747295965,943.5114574717826,14,Scandinavian,60.158,24.943,134.035,641.8
Krog Roba,60.16454,24.94722,721.4179814304839,Expensive,4.8,635.454797968734,137.1515887306408,959.7530164212852,27,Scandinavian,60.165,24.947,721.418,635.455
Spis,60.1636314,24.9476795,615.3273688182825,Most Expensive,4.8,636.8836587710006,122.4489281522304,951.2688269884484,24,Scandinavian,60.164,24.948,615.327,636.884
Zucchini,60.1662313763646,24.9494676174376,928.1117790779756,Most Affordable,4.7,591.5434050760156,136.93437042463597,928.1117790779756,25,Vegetarian,60.166,24.949,928.112,591.543
Rikhardinkadun kirjasto,60.1662407,24.9464092,888.0708660014097,Not Listed,4.7,610.2852971065015,133.19013710374094,988.1978813060782,29,Libraries,60.166,24.946,888.071,610.285
Pompier,60.1649543127515,24.9331962618671,991.637766343138,Affordable,4.6,641.6777504109741,129.41848558153686,996.2391489271404,29,Scandinavian,60.165,24.933,991.638,641.678
Ani,60.1571504587047,24.9336607849584,632.7458388410041,Affordable,4.5,718.8399486755033,163.3613310531659,995.2544012137952,16,Turkish,60.157,24.934,632.746,718.84
Fulbari,60.1573629,24.9320834,715.250746708513,Affordable,4.8,695.6017227051403,235.48011994913784,979.4102838918512,15,Himalayan/Nepalese,60.157,24.932,715.251,695.602
Trocadero,60.1647987,24.9426403,764.7356148310724,Not Listed,4.8,638.4701394302793,164.48250006095137,988.7966280474544,31,French,60.165,24.943,764.736,638.47
Ora,60.15766,24.94254,134.69811087674998,Not Listed,5.0,641.9922684772204,134.69811087674998,943.8870337145518,14,Scandinavian,60.158,24.943,134.698,641.992
Demo,60.1648301,24.9415088,760.7322045306875,Most Expensive,4.5,627.3347615751263,143.13207390225915,991.2505687304424,30,Scandinavian,60.165,24.942,760.732,627.335
Yes yes yes,60.1642087586756,24.9439802393317,670.0777542630233,Not Listed,5.0,628.5749864053487,144.07974521515555,955.8632630610985,28,Vegan,60.164,24.944,670.078,628.575
Haru Sushi,60.1649,24.93562,924.8499948033912,Not Listed,5.0,653.1835226306885,190.82862557167604,993.4699320505988,32,Sushi Bars,60.165,24.936,924.85,653.184
Palace,60.1652603,24.9518204,892.8600444148477,Most Expensive,4.8,615.937880752418,64.95749223344843,943.8816047637388,22,Scandinavian,60.165,24.952,892.86,615.938
Ravintola Grön,60.16445,24.93233,983.6239189543348,Not Listed,5.0,642.7236840886418,139.38745768512305,983.6239189543348,28,Vegetarian,60.164,24.932,983.624,642.724
Liberty or Death,60.16472,24.94462,724.4816961524728,Affordable,4.5,642.5947595487988,187.4488460385771,974.6422224843304,30,Speakeasies,60.165,24.945,724.482,642.595
El Greco,60.16597,24.94489,853.4629854655956,Affordable,4.5,618.6935638928003,122.72507504734104,955.1239303614684,30,Greek,60.166,24.945,853.463,618.694
Vibami,60.1631,24.94172,633.8692057991727,Affordable,4.5,653.5198639216223,114.27529893805512,999.7793882072192,29,Vietnamese,60.163,24.942,633.869,653.52
Tommyknocker,60.1634598,24.9412804,608.4907937493471,Affordable,4.4,613.8190518935785,17.64205132961626,910.9914822751368,26,Pubs,60.163,24.941,608.491,613.819
The Riff,60.1641388,24.9428196,657.7119655555332,Affordable,4.4,691.5481766162454,352.5467549505318,959.1235467346496,16,Bars,60.164,24.943,657.712,691.548
Toca,60.1654414,24.9512655,878.8528443819528,Expensive,4.4,587.7117599670654,124.60676523550012,900.9143306801574,12,Modern European,60.165,24.951,878.853,587.712
Casa Italia,60.164694199889,24.9379016252986,819.3753449530323,Affordable,4.4,707.0933133604029,316.6213623273703,969.2757739759152,17,Italian,60.165,24.938,819.375,707.093
Hills Dumplings,60.16441,24.94533,689.0229360500152,Not Listed,4.4,780.9423601885047,458.9583974539376,945.098411658088,11,Dim Sum,60.164,24.945,689.023,780.942
Brooklyn Cafe,60.16131,24.94182,525.5662497579771,Most Affordable,4.3,746.1065501787746,378.070028681028,997.9905164925478,10,Bagels,60.161,24.942,525.566,746.107
Saslik,60.15868,24.9485092,222.23929950828204,Most Expensive,4.3,582.7693778772843,222.23929950828204,828.3551018944814,7,Russian,60.159,24.949,222.239,582.769
Istanbul Grilli,60.1629414443893,24.9389866097799,620.4890208843987,Expensive,4.3,761.4709465158178,520.3447743364914,981.8880499940562,7,Turkish,60.163,24.939,620.489,761.471
Pastor,60.1660614,24.9430008,837.4033727719493,Expensive,4.3,898.8201056602247,776.6269049091986,971.346997232792,8,Latin American,60.166,24.943,837.403,898.82
Ravintola Natura,60.16369,24.94181,603.3685555260206,Most Expensive,4.3,791.5470305622207,603.3685555260206,997.2829620182888,6,Scandinavian,60.164,24.942,603.369,791.547
BrewDog,60.16062,24.9425199,314.0693268513343,Affordable,4.3,571.9049409267193,314.0693268513343,777.7684144296958,4,Pubs,60.161,24.943,314.069,571.905
Ravintola Maxill,60.1604385,24.9461498,255.75264595360383,Expensive,4.3,585.4201541906812,255.75264595360383,899.262831930994,5,Food,60.16,24.946,255.753,585.42
SIS. Deli & Café,60.16077,24.94634,265.1322016151954,Most Affordable,4.3,591.5950920679132,265.1322016151954,906.9724150128528,5,Coffee & Tea,60.161,24.946,265.132,591.595
Ravintola Vinkkeli,60.1639,24.94641,427.1544868487272,Most Expensive,5.0,652.8205532915579,104.41720654848194,993.930058822834,28,Modern European,60.164,24.946,427.154,652.821
Casa Chipotle,60.1645288454964,24.927932633924,861.7158668904522,Not Listed,5.0,653.4542132805389,150.46746152121733,948.0031822329904,25,Mexican,60.165,24.928,861.716,653.454
Baskeri &  Basso,60.1578732195411,24.934694096446,524.8434072306873,Affordable,4.8,673.1161654815522,83.377592852761,978.824141867706,16,Bistros,60.158,24.935,524.843,673.116
Ravintola Savoy,60.1666412,24.9473209,740.630232585878,Most Expensive,4.8,590.3797667079725,18.963961616784243,996.3734387047638,28,Restaurants,60.167,24.947,740.63,590.38
PASSIO Keittiö ja Baari,60.1670838,24.9369496,727.7611165739947,Most Expensive,4.8,625.7177312430526,71.19496571930237,964.0566262964862,34,Modern European,60.167,24.937,727.761,625.718
Chef & Sommelier,60.15766,24.94254,374.02911910495885,Most Expensive,4.8,641.8000232845052,134.0349747295965,943.5114574717826,14,Scandinavian,60.158,24.943,374.029,641.8
Krog Roba,60.16454,24.94722,497.30198640386976,Expensive,4.8,635.454797968734,137.1515887306408,959.7530164212852,27,Scandinavian,60.165,24.947,497.302,635.455
Phó Viét,60.1678284709583,24.9374913705416,795.8241648881041,Not Listed,4.8,612.7620736229208,51.33405401415448,929.1129320331828,34,Vietnamese,60.168,24.937,795.824,612.762
Spis,60.1636314,24.9476795,443.2874366427074,Most Expensive,4.8,636.8836587710006,122.4489281522304,951.2688269884484,24,Scandinavian,60.164,24.948,443.287,636.884
Pompier,60.1671925257657,24.9492107925732,801.3847689396763,Expensive,4.8,571.8976018726489,94.63812008301196,999.1270735663578,25,Scandinavian,60.167,24.949,801.385,571.898
Finlandia Caviar Shop & Restaurant,60.16691,24.95163,894.3585484080512,Not Listed,5.0,612.2981543333942,76.54612569852911,953.837586910938,24,Specialty Food,60.167,24.952,894.359,612.298
Patisserie Teemu & Markus,60.1678773247786,24.9379374190249,794.0154422284046,Most Affordable,4.7,612.3235967866532,76.56211131479978,946.711858130395,34,Desserts,60.168,24.938,794.015,612.324
Kafe Moskova,60.1670113,24.9338894,781.5611276715579,Affordable,4.7,631.0791479330397,149.379988365931,949.115257748346,33,Russian,60.167,24.934,781.561,631.079
Momo Toko,60.16616,24.9339,715.7699118445067,Not Listed,4.7,647.9632543014861,165.1494290038479,972.9668734846312,33,Ramen,60.166,24.934,715.77,647.963
Karl Johan,60.1680266,24.9389719,795.228836440797,Expensive,4.7,613.1029958825693,146.20575764273474,971.3729291050872,34,Scandinavian,60.168,24.939,795.229,613.103
Zucchini,60.1662313763646,24.9494676174376,719.9400422308456,Most Affordable,4.7,591.5434050760156,136.93437042463597,928.1117790779756,25,Vegetarian,60.166,24.949,719.94,591.543
Rikhardinkadun kirjasto,60.1662407,24.9464092,625.4532506163205,Not Listed,4.7,610.2852971065015,133.19013710374094,988.1978813060782,29,Libraries,60.166,24.946,625.453,610.285
Bar Haven,60.1666,24.95164,831.3396778258092,Expensive,4.6,616.8724555636057,116.28100588039968,981.0233571584932,24,Champagne Bars,60.167,24.952,831.34,616.872
Classic Pizza,60.1685237503237,24.9424013740297,837.2631441427756,Affordable,4.6,587.9593267222184,208.8757535837732,994.0497920035396,31,Pizza,60.169,24.942,837.263,587.959
Ravintola Aino,60.1681595,24.9502296,900.787595106683,Most Expensive,4.6,566.2851507681563,65.92999035872478,949.944802685714,24,Scandinavian,60.168,24.95,900.788,566.285
Pompier,60.1649543127515,24.9331962618671,647.9959164061153,Affordable,4.6,641.6777504109741,129.41848558153686,996.2391489271404,29,Scandinavian,60.165,24.933,647.996,641.678
Kino Andorra & Dubrovnik,60.1670113,24.9338894,781.5611276715579,Affordable,4.6,631.0791479330397,149.379988365931,949.115257748346,33,Dance Clubs,60.167,24.934,781.561,631.079
Kissakahvila Helkatti,60.1672089,24.933314,834.8883378855973,Affordable,4.6,634.4929705594261,189.79309587909944,978.8521757814124,33,Coffee & Tea,60.167,24.933,834.888,634.493
Bar Mendocino,60.1657849,24.931525,778.5928665525286,Most Affordable,4.5,657.2009066542806,11.701995452822304,998.1853705436714,31,Pubs,60.166,24.932,778.593,657.201
Ani,60.1571504587047,24.9336607849584,621.3157704645101,Affordable,4.5,718.8399486755033,163.3613310531659,995.2544012137952,16,Turkish,60.157,24.934,621.316,718.84
Fulbari,60.1573629,24.9320834,672.7495319529193,Affordable,4.8,695.6017227051403,235.48011994913784,979.4102838918512,15,Himalayan/Nepalese,60.157,24.932,672.75,695.602
Trocadero,60.1647987,24.9426403,440.8789319913038,Not Listed,4.8,638.4701394302793,164.48250006095137,988.7966280474544,31,French,60.165,24.943,440.879,638.47
Ora,60.15766,24.94254,374.3988800609098,Not Listed,5.0,641.9922684772204,134.69811087674998,943.8870337145518,14,Scandinavian,60.158,24.943,374.399,641.992
Demo,60.1648301,24.9415088,426.1918092682359,Most Expensive,4.5,627.3347615751263,143.13207390225915,991.2505687304424,30,Scandinavian,60.165,24.942,426.192,627.335
Yes yes yes,60.1642087586756,24.9439802393317,376.6342061839224,Not Listed,5.0,628.5749864053487,144.07974521515555,955.8632630610985,28,Vegan,60.164,24.944,376.634,628.575
Haru Sushi,60.1649,24.93562,571.3032712645677,Not Listed,5.0,653.1835226306885,190.82862557167604,993.4699320505988,32,Sushi Bars,60.165,24.936,571.303,653.184
Palace,60.1652603,24.9518204,755.5613881644251,Most Expensive,4.8,615.937880752418,64.95749223344843,943.8816047637388,22,Scandinavian,60.165,24.952,755.561,615.938
Ravintola Grön,60.16445,24.93233,646.0848772573033,Not Listed,5.0,642.7236840886418,139.38745768512305,983.6239189543348,28,Vegetarian,60.164,24.932,646.085,642.724
Liberty or Death,60.16472,24.94462,436.880896975533,Affordable,4.5,642.5947595487988,187.4488460385771,974.6422224843304,30,Speakeasies,60.165,24.945,436.881,642.595
El Greco,60.16597,24.94489,572.3162237455103,Affordable,4.5,618.6935638928003,122.72507504734104,955.1239303614684,30,Greek,60.166,24.945,572.316,618.694
Vibami,60.1631,24.94172,352.0404946490862,Affordable,4.5,653.5198639216223,114.27529893805512,999.7793882072192,29,Vietnamese,60.163,24.942,352.04,653.52
Domo,60.1665611,24.9349804,706.045232212903,Expensive,4.4,644.8738587520365,151.92141164654527,976.055450782294,33,Japanese,60.167,24.935,706.045,644.874
Tommyknocker,60.1634598,24.9412804,268.3961087732231,Affordable,4.4,613.8190518935785,17.64205132961626,910.9914822751368,26,Pubs,60.163,24.941,268.396,613.819
Pizzeria Via Tribunali,60.16848,24.95157,999.7020849209016,Not Listed,4.4,614.1554518651352,78.5110799009723,999.7020849209016,23,Pizza,60.168,24.952,999.702,614.155
Rulla,60.1676712,24.9375,786.7418093109142,Affordable,4.4,665.6497068017014,56.10025420027977,924.5805785560884,25,Vietnamese,60.168,24.938,786.742,665.65
Soppakeittiö,60.1664065865745,24.952743931244,853.2179591357927,Most Affordable,4.4,587.7080146323153,129.96066981495164,999.812202652152,14,Soup,60.166,24.953,853.218,587.708
The Riff,60.1641388,24.9428196,352.5467549505318,Affordable,4.4,691.5481766162454,352.5467549505318,959.1235467346496,16,Bars,60.164,24.943,352.547,691.548
Toca,60.1654414,24.9512655,719.803061759964,Expensive,4.4,587.7117599670654,124.60676523550012,900.9143306801574,12,Modern European,60.165,24.951,719.803,587.712
A21 Decades,60.1667658,24.9372628,688.5112385878896,Expensive,4.4,736.6820899574279,345.2919368345373,987.5828202722752,19,Lounges,60.167,24.937,688.511,736.682
Casa Italia,60.164694199889,24.9379016252986,463.9515526906048,Affordable,4.4,707.0933133604029,316.6213623273703,969.2757739759152,17,Italian,60.165,24.938,463.952,707.093
