Name,Category Alias,Category Title,Latitude,Longitude,Distance,Price,Rating
Ravintola Maxill,food,Food,60.1604385,24.9461498,550.1917954754864,€€€,4.3
Ravintola Nokka,scandinavian,Scandinavian,60.1690225729284,24.960840976999,926.7634908408636,€€€,4.3
SIS. Deli & Café,coffee,Coffee & Tea,60.16077,24.94634,550.4285146414094,€,4.3
Pörssiklubi,restaurants,Restaurants,60.1684113,24.9486008,923.0502732175589,,5.0
Healthinki,coffee,Coffee & Tea,60.15853,24.94482,700.7460345121907,,5.0
Eat Poke Helsinki,seafood,Seafood,60.16958,24.94461,1122.0258895147608,,5.0
Ravintola Saaristo,scandinavian,Scandinavian,60.1593617088918,24.9655079841614,541.0491949436322,€€€,4.5
Penelope,restaurants,Restaurants,60.17002,24.94596,1156.747684545787,,5.0
Green Hippo Cafe,breakfast_brunch,Breakfast & Brunch,60.1617042372927,24.9400799771933,900.7990463505917,,5.0
Ravintola Vinkkeli,modern_european,Modern European,60.1639,24.94641,662.4743703338567,€€€€,5.0
Casa Chipotle,mexican,Mexican,60.1645288454964,24.927932633924,1173.2297154931305,,5.0
Baskeri &  Basso,bistros,Bistros,60.1578732195411,24.934694096446,565.8765626022815,€€,4.8
Ravintola Savoy,restaurants,Restaurants,60.1666412,24.9473209,996.3734387047638,€€€€,4.8
PASSIO Keittiö ja Baari,modern_european,Modern European,60.1670838,24.9369496,1081.331497081377,€€€€,4.8
Chef & Sommelier,scandinavian,Scandinavian,60.15766,24.94254,134.0349747295965,€€€€,4.8
Krog Roba,scandinavian,Scandinavian,60.16454,24.94722,721.4179814304839,€€€,4.8
Spis,scandinavian,Scandinavian,60.1636314,24.9476795,615.3273688182825,€€€€,4.8
Pompier,scandinavian,Scandinavian,60.1671925257657,24.9492107925732,1027.9695233023344,€€€,4.8
Finlandia Caviar Shop & Restaurant,gourmet,Specialty Food,60.16691,24.95163,1074.824400098897,,5.0
Kafe Moskova,russian,Russian,60.1670113,24.9338894,1136.682263490608,€€,4.7
Momo Toko,ramen,Ramen,60.16616,24.9339,1069.411743382045,,4.7
Zucchini,vegetarian,Vegetarian,60.1662313763646,24.9494676174376,928.1117790779756,€,4.7
Rikhardinkadun kirjasto,libraries,Libraries,60.1662407,24.9464092,888.0708660014097,,4.7
Bar Haven,champagne_bars,Champagne Bars,60.1666,24.95164,1005.2581503337315,€€€,4.6
Pompier,scandinavian,Scandinavian,60.1649543127515,24.9331962618671,991.6377663431381,€€,4.6
Kino Andorra & Dubrovnik,danceclubs,Dance Clubs,60.1670113,24.9338894,1136.682263490608,€€,4.6
Kissakahvila Helkatti,coffee,Coffee & Tea,60.1672089,24.933314,1189.2623327549265,€€,4.6
Bar Mendocino,pubs,Pubs,60.1657849,24.931525,1121.9994496325987,€,4.5
Ani,turkish,Turkish,60.1571504587047,24.9336607849584,632.7458388410041,€€,4.5
Fulbari,himalayan,Himalayan/Nepalese,60.1573629,24.9320834,715.250746708513,€€,4.8
Trocadero,french,French,60.1647987,24.9426403,764.7356148310724,,4.8
Ora,scandinavian,Scandinavian,60.15766,24.94254,134.69811087674998,,5.0
Demo,scandinavian,Scandinavian,60.1648301,24.9415088,760.7322045306875,€€€€,4.5
Yes yes yes,vegan,Vegan,60.1642087586756,24.9439802393317,670.0777542630233,,5.0
Haru Sushi,sushi,Sushi Bars,60.1649,24.93562,924.8499948033913,,5.0
Palace,scandinavian,Scandinavian,60.1652603,24.9518204,892.8600444148477,€€€€,4.8
Ravintola Grön,vegetarian,Vegetarian,60.16445,24.93233,983.6239189543347,,5.0
Liberty or Death,speakeasies,Speakeasies,60.16472,24.94462,724.4816961524728,€€,4.5
El Greco,greek,Greek,60.16597,24.94489,853.4629854655956,€€,4.5
Vibami,vietnamese,Vietnamese,60.1631,24.94172,633.8692057991727,€€,4.5
Domo,japanese,Japanese,60.1665611,24.9349804,1061.4329113994859,€€€,4.4
Tommyknocker,pubs,Pubs,60.1634598,24.9412804,608.4907937493471,€€,4.4
Soppakeittiö,soup,Soup,60.1664065865745,24.952743931244,1010.4615404559506,€,4.4
