Yelp Name,Yelp Search,Yelp Category,Latitude,Longitude,Yelp Price,Yelp Rating,Rounded Latitude,Rounded Longitude,ID
Pivnice Poseidon,pubs,Pubs,60.167511082615,24.962795567779,Affordable,3.3,60.168,24.963,60.168_24.963
Kruna restaurang & bar,gastropubs,Gastropubs,60.17405,24.95932,Not Listed,4.0,60.174,24.959,60.174_24.959
Holiday Bar,modern_european,Modern European,60.168782345205,24.9591334146507,Not Listed,3.5,60.169,24.959,60.169_24.959
Katajanokan Pizza,kebab,Kebab,60.1681216190277,24.9753731913104,Not Listed,3.5,60.168,24.975,60.168_24.975
Katajanokan Koirapuisto,dog_parks,Dog Parks,60.1663208,24.9718494,Not Listed,3.0,60.166,24.972,60.166_24.972
Katajanmarja,restaurants,Restaurants,60.1658287,24.9698296,Not Listed,3.0,60.166,24.97,60.166_24.97
Jailyard Terrace,bars,Bars,60.1669998,24.9705505,Not Listed,3.0,60.167,24.971,60.167_24.971
Sen Chay,vegetarian,Vegetarian,60.1778816903161,24.9507051534424,Most Affordable,4.7,60.178,24.951,60.178_24.951
Soppakeittiö,soup,Soup,60.180093561669,24.9511906206237,Most Affordable,4.6,60.18,24.951,60.18_24.951
Musta Kissa,bars,Bars,60.1823900253219,24.9468823023268,Most Affordable,4.4,60.182,24.947,60.182_24.947
Sandro,breakfast_brunch,Breakfast & Brunch,60.18313,24.94839,Expensive,4.3,60.183,24.948,60.183_24.948
Silvoplee,vegetarian,Vegetarian,60.1814518638294,24.9492035894427,Affordable,4.3,60.181,24.949,60.181_24.949
Kolmon3n,burgers,Burgers,60.1821012,24.9501554,Affordable,4.3,60.182,24.95,60.182_24.95
Helsingin yliopiston pääkirjasto,libraries,Libraries,60.1713814623825,24.9483638024519,Not Listed,5.0,60.171,24.948,60.171_24.948
Bali Bagus Helsinki,indonesian,Indonesian,60.1797194,24.9612648,Not Listed,5.0,60.18,24.961,60.18_24.961
Gastrobar EMO,gastropubs,Gastropubs,60.1662016498627,24.9475995273544,Expensive,4.3,60.166,24.948,60.166_24.948
Bock - Terrace,lounges,Lounges,60.1686973,24.9534754,Affordable,5.0,60.169,24.953,60.169_24.953
The TRAY,bars,Bars,60.1685148867675,24.9474292248487,Expensive,5.0,60.169,24.947,60.169_24.947
Kulturkontakt Nord,libraries,Libraries,60.1721770783904,24.9482131004333,Not Listed,5.0,60.172,24.948,60.172_24.948
Chihuahua Julep,cocktailbars,Cocktail Bars,60.16512,24.94452,Not Listed,5.0,60.165,24.945,60.165_24.945
Roasberg,delis,Delis,60.17067,24.9461,Most Affordable,4.3,60.171,24.946,60.171_24.946
Café Engel,coffee,Coffee & Tea,60.1689979245312,24.9515845722941,Affordable,4.2,60.169,24.952,60.169_24.952
Stefan's Steakhouse,tradamerican,American,60.1663789718032,24.9454992830506,Most Expensive,4.2,60.166,24.945,60.166_24.945
Voffeli & Kaffeli,waffles,Waffles,60.1752208025119,24.9244651934071,Not Listed,4.6,60.175,24.924,60.175_24.924
Bar Favela,bars,Bars,60.1721191,24.9204693,Affordable,4.8,60.172,24.92,60.172_24.92
Botta,restaurants,Restaurants,60.1739693,24.9314995,Not Listed,4.4,60.174,24.931,60.174_24.931
Shanti,yoga,Yoga,60.1758308,24.9226704,Not Listed,4.3,60.176,24.923,60.176_24.923
Aa Han Thai,thai,Thai,60.1726913,24.9202194,Not Listed,4.3,60.173,24.92,60.173_24.92
Popup Showroom,cocktailbars,Cocktail Bars,60.166509,24.9306031,Expensive,5.0,60.167,24.931,60.167_24.931
Kotipizza,pizza,Pizza,60.163418326909,24.920708098611,Most Affordable,5.0,60.163,24.921,60.163_24.921
Soma,hotdogs,Fast Food,60.16952,24.9405,Not Listed,5.0,60.17,24.94,60.17_24.94
Banu Cafe,cafeteria,Cafeteria,60.15796,24.90865,Not Listed,5.0,60.158,24.909,60.158_24.909
SIS. Deli & Cafe,"delicatessen, juicebars","Delicatessen, Juice Bars & Smoothies",60.1676788,24.9397507,Affordable,4.3,60.168,24.94,60.168_24.94
Crystal Show Club,danceclubs,Dance Clubs,60.16525,24.93444,Affordable,5.0,60.165,24.934,60.165_24.934
Sushibar + Wine,sushi,Sushi Bars,60.1647186,24.9404697,Affordable,4.2,60.165,24.94,60.165_24.94
Fazer Cafe,icecream,Ice Cream & Frozen Yogurt,60.1692,24.93822,Affordable,4.2,60.169,24.938,60.169_24.938
Pueblo,mexican,Mexican,60.1652869698994,24.9294590950012,Affordable,4.2,60.165,24.929,60.165_24.929
Big Bowl Noodle Restaurant,noodles,Noodles,60.16671,24.93041,Not Listed,4.7,60.167,24.93,60.167_24.93
Wanhakettu,restaurants,Restaurants,60.1672287,24.9295807,Most Affordable,4.2,60.167,24.93,60.167_24.93
Atelje Finne,scandinavian,Scandinavian,60.1710091,24.9282398,Most Expensive,4.2,60.171,24.928,60.171_24.928
GLO Hotel Art,hotels,Hotels,60.16435,24.93175,Most Expensive,4.2,60.164,24.932,60.164_24.932
Mount Everest,himalayan,Himalayan/Nepalese,60.1671906,24.9276791,Most Affordable,4.1,60.167,24.928,60.167_24.928
Yeti Nepal,himalayan,Himalayan/Nepalese,60.1630211,24.9163303,Affordable,4.1,60.163,24.916,60.163_24.916
