Data Point,Free Bikes,Rounded Latitude,Rounded Longitude
Bike Spot,2,60.171,25.033
Bike Spot,10,60.243,24.994
Bike Spot,2,60.192,24.964
Bike Spot,14,60.176,25.053
Bike Spot,3,60.194,24.958
Bike Spot,29,60.239,25.001
Bike Spot,10,60.168,25.047
Bike Spot,14,60.24,24.991
Bike Spot,9,60.193,24.949
Bike Spot,11,60.18,25.052
Bike Spot,11,60.245,24.983
Bike Spot,1,60.196,24.948
Bike Spot,6,60.184,25.053
Bike Spot,1,60.236,24.972
Bike Spot,8,60.199,24.948
Bike Spot,17,60.192,25.061
Bike Spot,13,60.242,24.959
Bike Spot,0,60.197,24.961
Bike Spot,12,60.187,25.036
Bike Spot,10,60.249,24.958
Bike Spot,19,60.199,24.968
Bike Spot,30,60.188,25.031
Bike Spot,10,60.257,24.944
Bike Spot,6,60.201,24.944
Bike Spot,11,60.19,25.026
Bike Spot,2,60.255,24.918
Bike Spot,4,60.203,24.951
Bike Spot,2,60.191,25.037
Bike Spot,6,60.247,24.924
Bike Spot,5,60.203,24.966
Bike Spot,5,60.193,25.043
Bike Spot,17,60.25,24.942
Bike Spot,7,60.206,24.977
Bike Spot,4,60.193,25.031
Bike Spot,25,60.21,24.98
Bike Spot,3,60.233,24.91
Bike Spot,13,60.195,25.029
Bike Spot,10,60.244,24.899
Bike Spot,16,60.214,24.98
Bike Spot,13,60.199,25.043
Bike Spot,20,60.252,24.897
Bike Spot,2,60.208,24.968
Bike Spot,8,60.206,25.045
Bike Spot,20,60.259,24.893
Bike Spot,5,60.209,24.947
Bike Spot,1,60.198,25.032
Bike Spot,2,60.253,24.884
Bike Spot,13,60.157,24.869
Bike Spot,3,60.205,25.034
Bike Spot,9,60.243,24.886
Bike Spot,13,60.214,24.959
Bike Spot,8,60.209,25.037
Bike Spot,19,60.244,24.879
Bike Spot,1,60.213,24.944
Bike Spot,3,60.215,25.044
Bike Spot,12,60.236,24.889
Bike Spot,8,60.217,24.954
Bike Spot,42,60.21,25.057
Bike Spot,11,60.238,24.881
Bike Spot,2,60.221,24.948
Bike Spot,21,60.196,25.054
Bike Spot,4,60.239,24.877
Bike Spot,13,60.218,24.966
Bike Spot,7,60.199,25.059
Bike Spot,4,60.183,24.944
Bike Spot,19,60.239,24.869
Bike Spot,0,60.202,25.06
Bike Spot,15,60.246,24.868
Bike Spot,0,60.175,24.935
Bike Spot,10,60.206,25.057
Bike Spot,4,60.243,24.857
Bike Spot,14,60.204,25.076
Bike Spot,11,60.248,24.863
Bike Spot,12,60.252,24.857
Bike Spot,19,60.209,25.087
Bike Spot,5,60.256,24.847
Bike Spot,7,60.21,25.076
Bike Spot,0,60.25,24.849
Bike Spot,17,60.212,25.082
Bike Spot,10,60.245,24.848
Bike Spot,12,60.204,25.086
Bike Spot,7,60.239,24.851
Bike Spot,14,60.209,25.1
Bike Spot,19,60.232,24.846
Bike Spot,4,60.213,25.106
Bike Spot,8,60.212,25.096
Bike Spot,2,60.215,25.091
Bike Spot,4,60.167,24.947
Bike Spot,15,60.219,25.102
Bike Spot,1,60.17,24.927
Bike Spot,9,60.22,25.077
Bike Spot,20,60.182,24.85
Bike Spot,1,60.224,25.075
Bike Spot,11,60.224,25.065
Bike Spot,5,60.218,25.059
Bike Spot,3,60.195,24.963
Bike Spot,5,60.211,25.066
Bike Spot,0,60.213,24.97
Bike Spot,0,60.18,24.983
Bike Spot,6,60.22,24.934
Bike Spot,7,60.204,24.871
Bike Spot,16,60.207,24.856
Bike Spot,10,60.18,24.772
Bike Spot,7,60.209,24.835
Bike Spot,0,60.17,24.938
Bike Spot,1,60.259,24.845
Bike Spot,0,60.322,25.042
Bike Spot,1,60.306,25.023
Bike Spot,16,60.262,24.848
Bike Spot,4,60.27,24.846
Bike Spot,8,60.301,25.055
Bike Spot,2,60.261,24.839
Bike Spot,4,60.302,25.023
Bike Spot,8,60.316,25.1
Bike Spot,4,60.322,25.083
Bike Spot,146,60.248,24.842
Bike Spot,3,60.266,24.973
Bike Spot,11,60.303,25.046
Bike Spot,4,60.277,24.853
Bike Spot,4,60.305,25.049
Bike Spot,1,60.299,25.063
Bike Spot,3,60.29,24.959
Bike Spot,12,60.32,25.063
Bike Spot,3,60.289,25.03
Bike Spot,17,60.312,25.044
Bike Spot,5,60.295,25.042
Bike Spot,3,60.293,25.042
Bike Spot,10,60.311,25.031
Bike Spot,0,60.279,24.815
Bike Spot,9,60.258,24.867
Bike Spot,2,60.294,24.972
Bike Spot,1,60.303,24.955
Bike Spot,7,60.278,24.867
Bike Spot,1,60.286,25.03
Bike Spot,8,60.3,25.028
Bike Spot,2,60.295,24.844
Bike Spot,0,60.296,25.04
Bike Spot,3,60.288,25.033
Bike Spot,7,60.293,25.036
Bike Spot,2,60.298,25.05
Bike Spot,2,60.304,24.912
Bike Spot,4,60.282,24.875
Bike Spot,6,60.316,25.041
Bike Spot,6,60.285,24.959
Bike Spot,5,60.269,24.967
Bike Spot,1,60.285,24.849
