Name,Category ID,Category Name,Latitude,Longitude,Distance,Popularity,Price,Rating,Description
HSL E2152 Haukilahdensolmu,19043,Bus Stop,60.167964,24.771314,430,0.9495674226737933,,,WGS84 koordinaatit lat: 60.16774 lon: 24.76961 Pysäkkikoodi: 2214291
HSL E2149 Metsätonttu,19043,Bus Stop,60.174999,24.776256,433,0.04977448195053049,,,WGS84 koordinaatit lat: 60.17491 lon: 24.77640 Pysäkkikoodi: 2214265
Putte's,13064,Pizzeria,60.174503,24.780813,465,0.9606105840997737,1.0,,
Noodle Master Tapiola,13315,Noodle Restaurant,60.174565,24.780963,476,0.9878332611033531,1.0,,
HSL E2116 Jousenkaari,19043,Bus Stop,60.173323,24.784514,536,0.9557310476557359,,,
HSL E2350 Kuhatie,19043,Bus Stop,60.166329,24.773652,544,0.2980369496476782,,,WGS84 koordinaatit lat: 60.16652 lon: 24.77253 Pysäkkikoodi: 2232223
HSL E2353 Niittysilta,19043,Bus Stop,60.167044,24.770069,554,0.9849119596796199,,,WGS84 koordinaatit lat: 60.16709 lon: 24.77023 Pysäkkikoodi: 2232226
HSL E2151 Niittysilta,19043,Bus Stop,60.168216,24.767056,584,0.6731994671032567,,,
HSL E2194 Niittykumpu,19043,Bus Stop,60.170876,24.765157,594,0.9585720935458499,,,
Happy Friends,13065,Restaurant,60.167988,24.766771,611,0.9951686168761336,,,
Leppis,13018,Pub,60.173868,24.785653,620,0.5974221922601564,1.0,,
HSL E2147 Tonttupolku,19043,Bus Stop,60.176281,24.770058,660,0.46578706601820197,,,WGS84 koordinaatit lat: 60.17610 lon: 24.76991 Pysäkkikoodi: 2214263
Niittykummun Helmi,13049,Diner,60.167719,24.765858,670,0.8907561676377587,1.0,,
Oral Hammaslääkärit,15007,Dentist,60.170297,24.763495,691,0.37421550215887384,,,Meiltä saat perushammashoidon ja suuhygienistien palveluiden lisäksi myös laajat erikoishammaslääkäripalvelut. Käytämme nykyaikaista digitaalitekniikkaa päivittäisessä toiminnassamme.
HSL E2132 Niittykumpu,19043,Bus Stop,60.171178,24.76332,695,0.9831784401534486,,,
Esport Arena Kabinetti,13016,Lounge,60.176574,24.782006,695,0.9617181104637165,3.0,,
Esport Arena Kabinetti,13016,Lounge,60.176574,24.782006,695,0.6863292724033322,3.0,,
Kotipizza Espoo Niittykumpu,13064,Pizzeria,60.170394,24.763375,696,0.8230686505834577,1.0,,
Esport Arena Oy,11001,Advertising Agency,60.176833,24.781125,699,0.9956180478644002,,,
HSL E2125 Orioninristi,19043,Bus Stop,60.17736,24.777884,704,0.9686200863549542,,,
HSL E2138 Niittykumpu,19043,Bus Stop,60.170584,24.762241,757,0.1480875106338582,,,
HSL E2131 Niittykumpu,19043,Bus Stop,60.170577,24.762136,763,0.9736922360796777,,,
HSL E2143 Urheilupuistontie,19043,Bus Stop,60.177865,24.778395,764,0.964189980899183,,,WGS84 koordinaatit lat: 60.17792 lon: 24.77849 Pysäkkikoodi: 2214251
HSL E2121 Riihitonttu,19043,Bus Stop,60.172477,24.762295,771,0.2749554581788414,,,WGS84 koordinaatit lat: 60.17259 lon: 24.76227 Pysäkkikoodi: 2214202
HSL E2120 Riihitonttu,19043,Bus Stop,60.17247,24.76219,772,0.03247138890226481,,,
Salam Mumbai,13034,Café,60.175847,24.787863,845,0.9723760453283253,2.0,,
HSL E2142 Urheilupuistontie,19043,Bus Stop,60.178786,24.778848,869,0.9834352578610295,,,
Tokka Pizza,13064,Pizzeria,60.162954,24.77586,905,0.9684595752877161,1.0,,
Ravintola Mario's,13236,Italian Restaurant,60.177654,24.785765,909,0.9834031556475819,2.0,,"88 paikkainen Mario’s Italian Bistro on tyylikäs italialaishenkinen ravintola, jossa nautit a la carte illallisen samalla kun seuraat Areenatason tapahtumia. Ravintola on auki pääasiallisesti kaikissa tapahtumissa, mutta voit varmistaa ravintolan aukiolon myyntipalvelustamme."
HSL E2113 Hakalehto,19043,Bus Stop,60.173619,24.791603,911,0.9628577390411068,,,
Club Ravintola,13065,Restaurant,60.177661,24.78587,913,0.6402465449992777,,,"Club Ravintolassa on 96 istumapaikkaa ja sijaitsee Club-katsomon yläpuolella, ja pöydistä on esteetön näkyvyys kentälle. Ravintolassa palvelee myös korkeatasoinen baari. Ravintola on auki kaikissa Espoo Unitedin jääkiekko-otteluissa ja pyrimme pitämään ravintolan auki myös muissa tapahtumissa."
VIP Lounge,13016,Lounge,60.177661,24.78587,913,0.7390892602044911,3.0,,Metro Areenan VIP Lounge palvelee tilausravintolana ja sopii hyvin yksityistilaisuuksien järjestämiseen. Tapahtuman teemasta riippuen kapasiteetti vaihtelee 60-100 henkilön välillä. Läheisyydessä oleva Blue Zone on tilaisuuksissa mahdollista yhdistää VIP Loungeen.
PartyBox,13016,Lounge,60.177661,24.78587,913,0.13683568482046837,3.0,,"Club Ravintolaan on rakennettu kaksi PartyBoxia, eli rajattua ravintola-aitiota. Yhden PartyBoxin asiakaspaikkamäärä on 24 ja niihin voi tilata niin ylellisen aitiobuffetin tai oman tarjoilijan. PartyBoxissa saat nauttia suorasta näkyvyydestä areenatasolle omassa tilassasi."
Tapiolan Monitoimiareena Oy,11087,"Heating, Ventilating and Air Conditioning Contractor",60.177661,24.78587,913,0.5977111121811849,,,
Sports Bar,13022,Sports Bar,60.177661,24.78587,913,0.1619075135230574,1.0,,
HSL E2363 Haukilahden keskus,19043,Bus Stop,60.162702,24.776845,934,0.9597277732299642,,,WGS84 koordinaatit lat: 60.16262 lon: 24.77681 Pysäkkikoodi: 2232236
HSL E2319 Westendinpolku,19043,Bus Stop,60.165848,24.789927,970,0.9055713391438339,,,WGS84 koordinaatit lat: 60.16576 lon: 24.78978 Pysäkkikoodi: 2231220
"Rush Helsinki - Trampoliinipuisto: Hours, Address",10001,Amusement Park,60.221166,24.878006,710,0.9817179619811198,,8.0,Suomen ensimmäinen Rush trampoliinipuisto.
Pitäjänmäen kirjasto,12080,Library,60.226494,24.859392,764,0.981418918918919,,7.4,Pitäjänmäen kirjasto on osa Helsingin kaupunginkirjastoa ja HelMet-kirjastoa.
Helsingin kaupunginkirjasto Pohjois-Haagan kirjasto,12080,Library,60.232421,24.887442,983,0.9955305185568344,,7.1,Pohjois-Haagan kirjasto on osa Helsingin kaupunginkirjastoa ja HelMet-kirjastoa.
Pho 17,13379,Vietnamese Restaurant,60.224176,24.860078,793,0.9433030518556834,2.0,6.1,Vietnamese Rice & Noodle House
Kuparikulma Karaoke Bar,10000,Arts and Entertainment,60.230609,24.882868,660,0.8491125695073064,2.0,5.9,
Pizzeria Online,13064,Pizzeria,60.22424,24.859434,823,0.935123819992241,1.0,5.8,
HSL 1619 Marttila,19043,Bus Stop,60.227197,24.872107,61,0.3842622526833053,,,
HSL 1618 Marttila,19043,Bus Stop,60.227525,24.873968,63,0.46678197336092075,,,
HSL 1620 Vaakatie,19043,Bus Stop,60.2283,24.877092,252,0.45275927841717317,,,
HSL 1621 Vaakatie,19043,Bus Stop,60.228544,24.876795,255,0.9449437475753265,,,
HSL 1567 Vihdintien silta,19043,Bus Stop,60.225106,24.878054,347,0.5758922798396483,,,
