Data Point,Foursquare Name,Foursquare Popularity,Foursquare Price,Matched Name,Yelp Name,Yelp Price,Search,Category,Rounded Latitude,Rounded Longitude,Rating
Point of Interest,Bar Tapulin Piano,0.9566064270011638,Not Listed,Bar Tapulin Piano,Bar Tapulin Piano,Not Listed,13017,Piano Bar,60.275,25.034,8.0
Point of Interest,,,,,Bar Teos,Affordable,tapasmallplates,Tapas/Small Plates,60.18,24.925,6.8
Point of Interest,Bar West,0.954880338999374,Affordable,Bar West,Bar West,Not Listed,13015,Karaoke Bar,60.163,24.791,6.0
Point of Interest,Bar West,0.0,Not Listed,Bar West,Bar West,Not Listed,13003,Bar,60.163,24.791,6.0
Point of Interest,,,,,Basbas & Staff,Expensive,wine_bars,Wine Bars,60.158,24.934,9.0
Point of Interest,,,,,Baskeri &  Basso,Affordable,bistros,Bistros,60.158,24.935,9.6
Point of Interest,,,,,Bastion Deli,Not Listed,salad,Salad,60.166,24.966,8.0
Point of Interest,,,,,Beach,Affordable,restaurants,Restaurants,60.194,24.956,8.0
Point of Interest,Beef House,0.5863148264072808,Most Expensive,Beef House,,,13383,Steakhouse,60.187,24.797,
Point of Interest,,,,,Beef House,Not Listed,steak,Steakhouses,60.188,24.797,2.0
Point of Interest,,,,,Bella,Affordable,restaurants,Restaurants,60.185,24.805,7.0
Point of Interest,,,,,Bellevue,Expensive,russian,Russian,60.169,24.962,8.0
Point of Interest,,,,,Benjam's Bistro,Affordable,italian,Italian,60.174,24.929,8.2
Point of Interest,Berghyddan,0.9495587094271304,Not Listed,Berghyddan,Berghyddan,Not Listed,13065,Restaurant,60.215,24.979,10.0
Point of Interest,Bierhaus,0.9900184275184276,Not Listed,Bierhaus,Bierhaus,Affordable,13006,Beer Bar,60.252,25.009,7.65
Point of Interest,,,,,Big Bowl Noodle Restaurant,Not Listed,noodles,Noodles,60.167,24.93,9.4
Point of Interest,Big Bowl Noodle Restaurant,0.9898729471097892,Most Affordable,Big Bowl Noodle Restaurant,,,13315,Noodle Restaurant,60.167,24.931,9.2
Point of Interest,,,,,Birgitta,Affordable,breakfast_brunch,Breakfast & Brunch,60.154,24.932,7.8
Point of Interest,,,,,Bistro Gradus,Not Listed,buffets,Buffets,60.195,24.892,8.0
Point of Interest,,,,,Bistro Liekki,Not Listed,bistros,Bistros,60.293,25.032,8.0
Point of Interest,Bistro Maria,0.9520237941290572,Not Listed,Bistro Maria,,,13027,Bistro,60.198,24.877,
Point of Interest,,,,,Bistro Maria,Not Listed,bistros,Bistros,60.198,24.878,6.0
Point of Interest,,,,,Bistro Pianissimo,Not Listed,saunas,Saunas,60.154,24.886,7.0
Point of Interest,Bistrot Helsinki,0.9390691214700332,Not Listed,Bistrot Helsinki,,,13027,Bistro,60.318,24.968,5.5
Point of Interest,,,,,Bistrot Helsinki,Not Listed,bistros,Bistros,60.319,24.968,6.0
Point of Interest,Bites Vallila Oy,0.9724072158282684,Most Affordable,Bites Vallila,Bites Vallila,Most Affordable,13031,Burger Joint,60.196,24.951,8.899999999999999
Point of Interest,,,,,Black Bird,Most Affordable,pubs,Pubs,60.212,25.081,8.0
Point of Interest,Black Door,0.995546683046683,Affordable,Black Door,Black Door,Affordable,13006,Beer Bar,60.164,24.944,7.9
Point of Interest,Bacco,0.9708311780680202,Affordable,Blancco,,,13064,Pizzeria,60.165,24.935,7.3
Point of Interest,,,,,Blancco,Not Listed,buffets,Buffets,60.215,24.876,6.0
Point of Interest,Block by Dylan,0.9833263287210656,Not Listed,Block by Dylan,Block by Dylan,Affordable,13030,Buffet,60.167,24.952,7.65
Point of Interest,,,,,Blue Jay,Not Listed,divebars,Dive Bars,60.227,24.813,7.4
Point of Interest,,,,,Blue Ocean,Not Listed,asianfusion,Asian Fusion,60.23,24.881,6.0
Point of Interest,Blue Peter,0.9851205870942712,Affordable,Blue Peter,,,13016,Lounge,60.152,24.891,6.5
Point of Interest,,,,,Blue Peter,Affordable,seafood,Seafood,60.152,24.892,5.4
Point of Interest,,,,,Boatip,Most Affordable,thai,Thai,60.185,24.942,8.0
Point of Interest,,,,,Bock - Terrace,Affordable,lounges,Lounges,60.169,24.953,10.0
Point of Interest,,,,,Bodo,Affordable,ramen,Ramen,60.185,24.942,7.4
Point of Interest,,,,,Bones,Affordable,danceclubs,Dance Clubs,60.163,24.942,8.0
Point of Interest,,,,,Botta,Not Listed,restaurants,Restaurants,60.174,24.931,8.8
Point of Interest,,,,,Brahen koirapuisto,Not Listed,dog_parks,Dog Parks,60.19,24.949,6.0
Point of Interest,,,,,Brasileira,Not Listed,brazilian,Brazilian,60.191,24.978,8.0
Point of Interest,,,,,BrewDog,Affordable,pubs,Pubs,60.161,24.943,8.6
Point of Interest,,,,,Bro,Expensive,scandinavian,Scandinavian,60.177,24.951,8.2
Point of Interest,,,,,Brooklyn Cafe,Most Affordable,bagels,Bagels,60.161,24.942,8.6
Point of Interest,,,,,Bryggeri,Affordable,breweries,Breweries,60.168,24.952,8.2
Point of Interest,,,,,Brändö Seglare,Not Listed,social_clubs,Social Clubs,60.185,25.003,8.0
Point of Interest,Brändö Seglare r.f.,0.0,Not Listed,Brändö Seglare,,,12082,Organization,60.18,25.01,
Point of Interest,Burger King,0.7657582749627222,Most Affordable,Burger King,,,13031,Burger Joint,60.149,24.916,
Point of Interest,Burger King,0.9901767226850292,Most Affordable,Burger King,,,13145,Fast Food Restaurant,60.161,24.706,6.2
Point of Interest,Burger King,0.9561804786440022,Most Affordable,Burger King,,,13145,Fast Food Restaurant,60.162,24.738,5.7
Point of Interest,Burger King,0.9942616061037116,Most Affordable,Burger King,,,13145,Fast Food Restaurant,60.164,24.91,5.0
Point of Interest,Burger King,0.9943990042674252,Affordable,Burger King,,,13145,Fast Food Restaurant,60.168,24.941,5.4
Point of Interest,Burger King,0.9885312944523472,Most Affordable,Burger King,,,13145,Fast Food Restaurant,60.169,24.947,7.5
Point of Interest,,,,,Burger King,Most Affordable,"burgers, hotdogs","Burgers, Fast Food",60.17,24.941,8.0
Point of Interest,,,,,Burger King,Most Affordable,"burgers, hotdogs","Burgers, Fast Food",60.191,24.912,8.0
