Foursquare Name,Foursquare Popularity,Foursquare Price,Matched Name,Yelp Name,Yelp Price,Search,Category,Rounded Latitude,Rounded Longitude,Rating,Free Bikes
,,,,Rugosa,Not Listed,modern_european,Modern European,60.154,24.882,10.0,0.0
Maggio Pizzeria Viinibaari,0.9845709944394156,Most Affordable,,,,13064,Pizzeria,60.154,24.882,8.5,0.0
HSL 1055 Kiviaidankatu,0.9835364670890988,Not Listed,,,,19043,Bus Stop,60.154,24.882,0.0,0.0
Hsl 1062 Heikkilänaukio,0.3052340618130091,Not Listed,,,,19043,Bus Stop,60.154,24.883,0.0,0.0
,,,,Bistro Pianissimo,Not Listed,saunas,Saunas,60.154,24.886,7.0,0.0
HSL 1045 Vattuniemenkuja,0.9472552696236908,Not Listed,,,,19043,Bus Stop,60.154,24.886,0.0,0.0
Merijooga,0.961730570283202,Not Listed,,,,18028,Yoga Studio,60.154,24.886,0.0,0.0
Ravintola Lumbini,0.9889354066985646,Not Listed,Ravintola Lumbini,Ravintola Lumbini,Most Affordable,13194,Himalayan Restaurant,60.154,24.887,7.35,0.0
Tammenlinna,0.1048832923832923,Most Affordable,,,,13007,Beer Garden,60.154,24.915,0.0,0.0
Sea Pub,0.925394623348773,Most Affordable,,,,13018,Pub,60.154,24.922,0.0,0.0
,,,,,,,,60.154,24.931,2.5561569451742865,23.0
,,,,Birgitta,Affordable,breakfast_brunch,Breakfast & Brunch,60.154,24.932,7.8,0.0
Birgitta Hernesaari,0.9942050303892408,Affordable,,,,13034,Café,60.154,24.932,8.8,0.0
Café Carusel,0.996977240398293,Affordable,,,,13034,Café,60.154,24.943,7.1,0.0
Mattolaituri,0.9713241950084056,Most Expensive,Mattolaituri,Mattolaituri,Affordable,13025,Wine Bar,60.154,24.956,7.699999999999999,0.0
Pikkupuisto,0.7037607743053883,Not Listed,,,,16033,Dog Park,60.155,24.729,0.0,0.0
HSL E3107 Akselinpolku,0.4617421871238021,Not Listed,,,,19043,Bus Stop,60.155,24.745,0.0,0.0
Rantametsän koira-aitaus,0.9583794802651644,Not Listed,,,,16033,Dog Park,60.155,24.759,0.0,0.0
Matinkylän pururata,0.9491661450056982,Not Listed,,,,16019,Hiking Trail,60.155,24.76,0.0,0.0
Koukkupolku,0.9879937721705911,Not Listed,,,,16019,Hiking Trail,60.155,24.765,0.0,0.0
