Name,Category ID,Category Name,Latitude,Longitude,Distance,Popularity,Price,Rating,Distance_mean,Distance_min,Distance_max,Bike Spots Near,Popularity_mean,Popularity_min,Popularity_max
HSL Pysäkki V6524,19043,Bus Stop,60.300831,25.03183,578,0.6510808019657419,Not Listed,Not Rated,626.2307692307693,233,878,13,0.6510808019657419,0.6510808019657419,0.6510808019657419
Rosa Pizza,13064,Pizzeria,60.292651,25.042147,579,0.8456963783341049,Most Affordable,Not Rated,550.3,62,985,20,0.8456963783341049,0.8456963783341049,0.8456963783341049
HSL V6138 Esikkotie,19043,Bus Stop,60.298984,25.041796,580,0.8920622484954239,Not Listed,Not Rated,550.9333333333333,57,856,15,0.8920622484954239,0.8920622484954239,0.8920622484954239
Ravintola Hella Wuolijoki,13065,Restaurant,60.294664,25.044115,590,0.1665182863858124,Not Listed,Not Rated,487.70588235294116,30,944,17,0.1665182863858124,0.1665182863858124,0.1665182863858124
Mama Mozza,13065,Restaurant,60.290466,25.03574,593,0.9508564509810904,Not Listed,Not Rated,523.6,325,764,15,0.9508564509810904,0.9508564509810904,0.9508564509810904
Eat Your Greens,13377,Vegan and Vegetarian Restaurant,60.292329,25.04288,633,0.938962287667818,Affordable,Not Rated,538.8421052631579,74,988,19,0.9389622876678181,0.938962287667818,0.938962287667818
Tikkurilan Matkakeskus,19042,Bus Station,60.293961,25.044632,637,0.9968305972009543,Not Listed,Not Rated,499.1764705882353,93,962,17,0.9968305972009543,0.9968305972009543,0.9968305972009543
Vantaan Nicehearts ry,13065,Restaurant,60.291515,25.041605,640,0.1060859655995156,Not Listed,Not Rated,508.88235294117646,48,922,17,0.1060859655995156,0.1060859655995156,0.1060859655995156
Chinaboss,13099,Chinese Restaurant,60.289968,25.035328,644,0.9664897973718884,Most Affordable,Not Rated,547.2857142857143,265,993,14,0.9664897973718884,0.9664897973718884,0.9664897973718884
Pub Marjanne,13018,Pub,60.291955,25.04277,654,0.9062355329226168,Most Affordable,Not Rated,519.4444444444445,34,922,18,0.9062355329226168,0.9062355329226168,0.9062355329226168
Ristorante La Locanda,13302,Mediterranean Restaurant,60.305539,25.023135,309,0.9855774367009722,Affordable,6.7,580.0,20,904,9,0.9855774367009721,0.9855774367009722,0.9855774367009722
SuperBurger,13145,Fast Food Restaurant,60.301126,25.024778,601,0.9607563833196824,Most Affordable,6.4,547.3333333333334,130,936,6,0.9607563833196823,0.9607563833196824,0.9607563833196824
HSL v6504 Simonkallion koulu,12057,Primary and Secondary School,60.306403,25.02435,235,0.7599088351554432,Not Listed,Not Rated,644.4545454545455,97,968,11,0.7599088351554432,0.7599088351554432,0.7599088351554432
Ravintola Viatoni,13015,Karaoke Bar,60.305526,25.022924,321,0.0658452334318578,Affordable,Not Rated,568.625,28,908,8,0.0658452334318578,0.0658452334318578,0.0658452334318578
HSL V6012 Vesitorni,19043,Bus Stop,60.308122,25.03337,338,0.8148214094939639,Not Listed,Not Rated,665.2666666666667,155,985,15,0.8148214094939639,0.8148214094939639,0.8148214094939639
HSL V6506 Vanamontie,19043,Bus Stop,60.309511,25.027023,378,0.200028489013924,Not Listed,Not Rated,600.2,230,953,10,0.20002848901392403,0.200028489013924,0.200028489013924
Ravintola Simppa,13003,Bar,60.309533,25.03074,388,0.943734197500089,Affordable,Not Rated,609.25,107,949,12,0.9437341975000889,0.943734197500089,0.943734197500089
Leinikkitien Hammashoitola,15007,Dentist,60.309582,25.030681,392,0.9341191553007372,Not Listed,Not Rated,609.6666666666666,102,952,12,0.9341191553007372,0.9341191553007372,0.9341191553007372
Ravintola Simppa,13003,Bar,60.309657,25.031043,406,0.0490723264840995,Affordable,Not Rated,607.4166666666666,95,969,12,0.0490723264840995,0.0490723264840995,0.0490723264840995
HSL V6011 Paloasema,19043,Bus Stop,60.309316,25.03316,427,0.5034720985719882,Not Listed,Not Rated,635.3846153846154,188,996,12,0.5034720985719882,0.5034720985719882,0.5034720985719882
HSL V6511 Simonkallionkuja,19043,Bus Stop,60.307905,25.021495,434,0.978918129696236,Not Listed,Not Rated,684.0,264,998,9,0.9789181296962359,0.978918129696236,0.978918129696236
HSL V6013 Malmimäki,19043,Bus Stop,60.309034,25.034526,453,0.0497133292973897,Not Listed,Not Rated,651.5,186,989,14,0.0497133292973897,0.0497133292973897,0.0497133292973897
Simonkylän Pizzeria-Ravintola,13064,Pizzeria,60.310171,25.030869,458,0.9808411381361064,Most Affordable,Not Rated,572.3636363636364,37,835,11,0.9808411381361064,0.9808411381361064,0.9808411381361064
HSL V6512 Simonkallio,19043,Bus Stop,60.308038,25.021106,460,0.8146077418895339,Not Listed,Not Rated,661.0,286,967,8,0.8146077418895339,0.8146077418895339,0.8146077418895339
